507;Abyssin;2
508;American Bobtail;2
509;American Curl;2
510;American Shorthair;2
511;American Wirehair;2
512;Balinais;2
513;Bengal;2
514;Birman;2
515;Bombay;2
516;British Shorthair;2
517;Burmese;2
518;Burmilla;2
519;Californian Spangled;2
520;Chartreux;2
521;Chausie;2
522;Cornish Rex;2
523;Cymric;2
524;Devon Rex;2
525;Donskoy;2
526;Egyptian Mau;2
527;European Shorthair;2
528;Exotic Shorthair;2
529;German Rex;2
530;Havana Brown;2
531;Highland Fold;2
532;Himalayen;2
533;Japanese Bobtail;2
534;Javanais;2
535;Khao Manee;2
536;Korat;2
537;Kurilian Bobtail;2
538;LaPerm;2
539;Maine Coon;2
540;Manx;2
541;Mau Egyptien;2
542;Munchkin;2
543;Nebelung;2
544;Norvégien;2
545;Ocicat;2
546;Ojos Azules;2
547;Oriental;2
548;Persan;2
549;Peterbald;2
550;Pixie-bob;2
551;Ragdoll;2
552;Rex de Selkirk;2
553;Sacré de Birmanie;2
554;Savannah;2
555;Scottish Fold;2
556;Scottish Straight;2
557;Selkirk Rex;2
558;Serval domestique;2
559;Seychellois;2
560;Siamois;2
561;Sibérien;2
562;Singapura;2
563;Snowshoe;2
564;Sokoké;2
565;Somali;2
566;Sphynx;2
567;Tonkinois;2
568;Turc de Van;2
569;Turkish Angora;2
570;Turkish Van;2
571;York chocolat;2
572;Chartreux;2
573;Sphynx;2
574;Russe Bleu;2
575;Scottish Fold;2
576;Selkirk Rex;2
577;Autre;2
